sweep,case,arm,flow_n,dt_scale,step,iters
stepsize,vp_isoharden_inverted,nopred-ls,2,2,1,8
stepsize,vp_isoharden_inverted,nopred-ls,2,2,2,8
stepsize,vp_isoharden_inverted,nopred-ls,2,2,3,8
stepsize,vp_isoharden_inverted,nopred-ls,2,2,4,8
stepsize,vp_isoharden_inverted,nopred-ls,2,2,5,8
stepsize,vp_isoharden_inverted,nopred-ls,2,2,6,8
stepsize,vp_isoharden_inverted,nopred-ls,2,5,1,7
stepsize,vp_isoharden_inverted,nopred-ls,2,5,2,7
stepsize,vp_isoharden_inverted,nopred-ls,2,5,3,7
stepsize,vp_isoharden_inverted,nopred-ls,2,5,4,7
stepsize,vp_isoharden_inverted,nopred-ls,2,5,5,7
stepsize,vp_isoharden_inverted,nopred-ls,2,5,6,7
stepsize,vp_isoharden_inverted,nopred-ls,2,10,1,7
stepsize,vp_isoharden_inverted,nopred-ls,2,10,2,7
stepsize,vp_isoharden_inverted,nopred-ls,2,10,3,7
stepsize,vp_isoharden_inverted,nopred-ls,2,10,4,7
stepsize,vp_isoharden_inverted,nopred-ls,2,10,5,7
stepsize,vp_isoharden_inverted,nopred-ls,2,10,6,7
stepsize,vp_isoharden_inverted,nopred-ls,2,20,1,7
stepsize,vp_isoharden_inverted,nopred-ls,2,20,2,7
stepsize,vp_isoharden_inverted,nopred-ls,2,20,3,7
stepsize,vp_isoharden_inverted,nopred-ls,2,20,4,7
stepsize,vp_isoharden_inverted,nopred-ls,2,20,5,7
stepsize,vp_isoharden_inverted,nopred-ls,2,20,6,7
arms,vp_chaboche,pred+ls,2,1,1,11
arms,vp_chaboche,pred+ls,2,1,2,4
arms,vp_chaboche,pred+ls,2,1,3,3
arms,vp_chaboche,pred+ls,2,1,4,3
arms,vp_chaboche,pred+ls,2,1,5,3
arms,vp_chaboche,pred+ls,2,1,6,3
arms,vp_chaboche,pred-ls,2,1,1,15
arms,vp_chaboche,pred-ls,2,1,2,4
arms,vp_chaboche,pred-ls,2,1,3,3
arms,vp_chaboche,pred-ls,2,1,4,3
arms,vp_chaboche,pred-ls,2,1,5,3
arms,vp_chaboche,pred-ls,2,1,6,3
arms,vp_chaboche,nopred+ls,2,1,1,11
arms,vp_chaboche,nopred+ls,2,1,2,11
