sweep,case,arm,flow_n,dt_scale,nbatch,nsteps,tfrac,max_its,status,iters_step1,median_iters_rest,imbalance,total_iters,iters_by_step,step1_overshoot,step1_contraction,theory_contraction,failed_step,n_failed_members,error
arms,cp_coupled,pred-ls,8,1,8,6,0.0606061,50,diverged,49,,,49,49,4.92909e+93,2.91029,2.91029,1,3,Nonlinear solve failed with status MAXITER
arms,cp_coupled,nopred+ls,8,1,8,6,0.0606061,50,ok,13,13,1,98,13-11-13-13-33-15,1263.23,3.17157,2.91029,-1,-1,
arms,cp_coupled,nopred-ls,8,1,8,6,0.0606061,50,diverged,49,,,49,49,7.31049e+91,2.91029,2.91029,1,7,Nonlinear solve failed with status MAXITER
stiffness,cp_coupled,pred-ls,2,1,8,6,0.0606061,50,ok,5,5,1,30,5-5-5-5-5-5,1,,4,-1,-1,
stiffness,cp_coupled,pred-ls,4,1,8,6,0.0606061,50,ok,8,5,1.6,33,8-6-5-5-5-4,1.39033,3.37218,3.16049,-1,-1,
stiffness,cp_coupled,pred-ls,8,1,8,6,0.0606061,50,diverged,49,,,49,49,4.92909e+93,2.91029,2.91029,1,3,Nonlinear solve failed with status MAXITER
stiffness,cp_coupled,pred-ls,12,1,8,6,0.0606061,50,diverged,49,,,49,49,2.51138e+102,2.84094,2.84094,1,6,Nonlinear solve failed with status MAXITER
stiffness,cp_coupled,pred-ls,20,1,8,6,0.0606061,50,diverged,3,,,3,3,9.53684e+84,,2.78951,1,7,Nonlinear solve failed with status MAXITER
stiffness,cp_coupled,nopred-ls,2,1,8,6,0.0606061,50,ok,10,9,1.11111,56,10-10-9-9-9-9,15858.5,3.72321,4,-1,-1,
stiffness,cp_coupled,nopred-ls,4,1,8,6,0.0606061,50,diverged,49,,,49,49,1.13535e+48,4.20577,3.16049,1,5,Nonlinear solve failed with status MAXITER
stiffness,cp_coupled,nopred-ls,8,1,8,6,0.0606061,50,diverged,49,,,49,49,7.31049e+91,2.91029,2.91029,1,7,Nonlinear solve failed with status MAXITER
stiffness,cp_coupled,nopred-ls,12,1,8,6,0.0606061,50,diverged,16,,,16,16,6.64802e+103,,2.84094,1,7,Nonlinear solve failed with status MAXITER
stiffness,cp_coupled,nopred-ls,20,1,8,6,0.0606061,50,diverged,4,,,4,4,6.38893e+106,,2.78951,1,7,Nonlinear solve failed with status MAXITER
stepsize,cp_coupled,pred+ls,8,1,8,6,0.0606061,50,ok,16,3,5.33333,34,16-5-4-3-3-3,1,1.05598,2.91029,-1,-1,
stepsize,cp_coupled,pred+ls,8,2,8,6,0.121212,50,diverged,49,,,49,49,1.06422e+30,2.91029,2.91029,1,2,Nonlinear solve failed with status MAXITER
stepsize,cp_coupled,pred+ls,8,5,8,6,0.30303,50,diverged,49,,,49,49,5.99479e+41,,2.91029,1,5,Nonlinear solve failed with status MAXITER
stepsize,cp_coupled,pred+ls,8,10,8,6,0.606061,50,diverged,49,,,49,49,1.35929e+34,1.17072,2.91029,1,7,Nonlinear solve failed with status MAXITER
stepsize,cp_coupled,pred+ls,8,20,8,6,1.21212,50,diverged,49,,,49,49,2.39901e+38,,2.91029,1,8,Nonlinear solve failed with status MAXITER
stepsize,cp_coupled,pred-ls,8,1,8,6,0.0606061,50,diverged,49,,,49,49,4.92909e+93,2.91029,2.91029,1,3,Nonlinear solve failed with status MAXITER
stepsize,cp_coupled,pred-ls,8,2,8,6,0.121212,50,diverged,49,,,49,49,6.23864e+82,2.91029,2.91029,1,3,Nonlinear solve failed with status MAXITER
stepsize,cp_coupled,pred-ls,8,5,8,6,0.30303,50,diverged,49,,,49,49,1.35381e+85,2.91029,2.91029,1,6,Nonlinear solve failed with status MAXITER
stepsize,cp_coupled,pred-ls,8,10,8,6,0.606061,50,diverged,35,,,35,35,9.35706e+80,,2.91029,1,7,Nonlinear solve failed with status MAXITER
stepsize,cp_coupled,pred-ls,8,20,8,6,1.21212,50,diverged,49,,,49,49,2.49676e+84,2.91029,2.91029,1,8,Nonlinear solve failed with status MAXITER
stepsize,cp_coupled,nopred+ls,8,1,8,6,0.0606061,50,ok,13,13,1,98,13-11-13-13-33-15,1263.23,3.17157,2.91029,-1,-1,
stepsize,cp_coupled,nopred+ls,8,2,8,6,0.121212,50,diverged,49,,,49,49,8.59307e+35,1.11664,2.91029,1,2,Nonlinear solve failed with status MAXITER
stepsize,cp_coupled,nopred+ls,8,5,8,6,0.30303,50,diverged,49,,,49,49,2.52585e+47,,2.91029,1,5,Nonlinear solve failed with status MAXITER
stepsize,cp_coupled,nopred+ls,8,10,8,6,0.606061,50,diverged,49,,,49,49,3.55211e+43,,2.91029,1,7,Nonlinear solve failed with status MAXITER
stepsize,cp_coupled,nopred+ls,8,20,8,6,1.21212,50,diverged,49,,,49,49,1.58825e+53,,2.91029,1,7,Nonlinear solve failed with status MAXITER
stepsize,cp_coupled,nopred-ls,8,1,8,6,0.0606061,50,diverged,49,,,49,49,7.31049e+91,2.91029,2.91029,1,7,Nonlinear solve failed with status MAXITER
stepsize,cp_coupled,nopred-ls,8,2,8,6,0.121212,50,diverged,49,,,49,49,7.57482e+93,2.91029,2.91029,1,7,Nonlinear solve failed with status MAXITER
stepsize,cp_coupled,nopred-ls,8,5,8,6,0.30303,50,diverged,25,,,25,25,1.10431e+86,2.91029,2.91029,1,8,Nonlinear solve failed with status MAXITER
stepsize,cp_coupled,nopred-ls,8,10,8,6,0.606061,50,diverged,23,,,23,23,1.20215e+85,2.91029,2.91029,1,8,Nonlinear solve failed with status MAXITER
stepsize,cp_coupled,nopred-ls,8,20,8,6,1.21212,50,diverged,49,,,49,49,9.6001e+100,2.91029,2.91029,1,8,Nonlinear solve failed with status MAXITER
arms,cp_decoupled,pred+ls,8,1,8,6,0.0606061,50,ok,19,6,3.16667,52,19-8-7-6-6-6,1,1.05589,2.91029,-1,-1,
arms,cp_decoupled,pred-ls,8,1,8,6,0.0606061,50,ok,19,6,3.16667,52,19-8-7-6-6-6,4518.69,2.91001,2.91029,-1,-1,
